Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
;,;,;"Critical""";;;;12/03/2003;17/09/2018;true;;;;;;;;;;;;;;;;
11422;;;None;10.0.2.6;tcp;8180;Web Server Unconfigured - Default Install Page Present;The remote web server is not configured or is improperly configured.;The remote web server uses its default welcome page. Therefore, it's;;;;;;;;;;;;;;;;
probable that this server is not used at all or is serving content;;;;;;;;;;;;;;;;;;;;;;;;;
"that is meant to be hidden.""";Disable this service if you do not use it.;;;;;;;;;;;;;;;;;;;;;;;;
The default welcome page is from Tomcat.;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;20/03/2003;15/08/2018;;;;;;;;;;;;;;;;;
11424;;;None;10.0.2.6;tcp;80;WebDAV Detection;The remote server is running with WebDAV enabled.;WebDAV is an industry standard extension to the HTTP specification.;;;;;;;;;;;;;;;;
It adds a capability for authorized users to remotely add and manage;;;;;;;;;;;;;;;;;;;;;;;;;
the content of a web server.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
If you do not use this extension;" you should disable it.""";http://support.microsoft.com/default.aspx?kbid=241520;;;;;;;None;;;;20/03/2003;14/03/2011;;;;;;;;;;;
11819;;;None;10.0.2.6;udp;69;TFTP Daemon Detection;A TFTP server is listening on the remote port.;The remote host is running a TFTP (Trivial File Transfer Protocol);;;;;;;;;;;;;;;;
daemon. TFTP is often used by routers and diskless hosts to retrieve;;;;;;;;;;;;;;;;;;;;;;;;;
"their configuration. It can also be used by worms to propagate.""";Disable this service if you do not use it.;;;;;;;None;;;;13/08/2003;22/11/2019;;;;;;;;;;;;
11936;;;None;10.0.2.6;tcp;0;OS Identification;It is possible to guess the remote operating system.;Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,;;;;;;;;;;;;;;;;
SNMP; etc.); it is possible to guess the name of the remote operating;;;;;;;;;;;;;;;;;;;;;;;
system in use. It is also possible sometimes to guess the version of;;;;;;;;;;;;;;;;;;;;;;;;;
"the operating system.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
Remote operating system : Linux Kernel 2.6 on Ubuntu 8.04 (gutsy);;;;;;;;;;;;;;;;;;;;;;;;;
Confidence level : 95;;;;;;;;;;;;;;;;;;;;;;;;;
Method : HTTP;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Not all fingerprints could give a match. If you think some or all of;;;;;;;;;;;;;;;;;;;;;;;;;
the following could be used to identify the host's operating system;;;;;;;;;;;;;;;;;;;;;;;;;
please email them to os-signatures@nessus.org. Be sure to include a;;;;;;;;;;;;;;;;;;;;;;;;;
brief description of the host itself; such as the actual operating;;;;;;;;;;;;;;;;;;;;;;;;
system or product / model names.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
SSH:SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1;;;;;;;;;;;;;;;;;;;;;;;;;
SinFP:;;;;;;;;;;;;;;;;;;;;;;;;;
   P1:B10113:F0x12:W5840:O0204ffff:M1460:;;;;;;;;;;;;;;;;;;;;;;;;;
   P2:B10113:F0x12:W5792:O0204ffff0402080affffffff4445414401030307:M1460:;;;;;;;;;;;;;;;;;;;;;;;;;
   P3:B00000:F0x00:W0:O0:M0;;;;;;;;;;;;;;;;;;;;;;;;;
   P4:81001_7_p=2121;;;;;;;;;;;;;;;;;;;;;;;;;
SMTP:!:220 metasploitable.localdomain ESMTP Postfix (Ubuntu);;;;;;;;;;;;;;;;;;;;;;;;;
SSLcert:!:i/CN:ubuntu804-base.localdomaini/O:OCOSAi/OU:Office for Complication of Otherwise Simple Affairss/CN:ubuntu804-base.localdomains/O:OCOSAs/OU:Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
ed093088706603bfd5dc237399b498da2d4d31c6;;;;;;;;;;;;;;;;;;;;;;;;;
i/CN:ubuntu804-base.localdomaini/O:OCOSAi/OU:Office for Complication of Otherwise Simple Affairss/CN:ubuntu804-base.localdomains/O:OCOSAs/OU:Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
ed093088706603bfd5dc237399b498da2d4d31c6;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;
"The remote host is running Linux Kernel 2.6 on Ubuntu 8.04 (gutsy)""";;;;;None;;;;09/12/2003;09/03/2020;;;;;;;;;;;;;;;
12085;;5.0;Medium;10.0.2.6;tcp;8180;Apache Tomcat Default Files;The remote web server contains default files.;The default error page, default index page, example JSPs and/or example servlets are installed on the remote Apache;;;;;;;;;;;;;;;;
Tomcat server. These files should be removed as they may help an attacker uncover information about the remote Tomcat;;;;;;;;;;;;;;;;;;;;;;;;;
"install or host itself.""";Delete the default index page and remove the example JSP and servlets. Follow the Tomcat or OWASP instructions to ;;;;;;;;;;;;;;;;;;;;;;;;
"replace or modify the default error page.""";http://www.nessus.org/u?4cb3b4dd;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.owasp.org/index.php/Securing_tomcat""";;;;;;;;;;;;;;;;;;;;;;;;;
The following default files were found :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
http://10.0.2.6:8180/tomcat-docs/index.html;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
The server is not configured to return a custom page in the event of a client requesting a non-existent resource.;;;;;;;;;;;;;;;;;;;;;;;;;
This may result in a potential disclosure of sensitive information about the server to attackers.;;;;;;;;;;;;;;;;;;;;;;;;;
;,5.3;;;Medium;;;;02/03/2004;12/08/2019;;;;;;;;;;;;;;;;
12217;;5.0;Medium;10.0.2.6;udp;53;DNS Server Cache Snooping Remote Information Disclosure;The remote DNS server is vulnerable to cache snooping attacks.;The remote DNS server responds to queries for third-party domains;;;;;;;;;;;;;;;;
that do not have the recursion bit set. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
This may allow a remote attacker to determine which domains have;;;;;;;;;;;;;;;;;;;;;;;;;
recently been resolved via this name server; and therefore which hosts;;;;;;;;;;;;;;;;;;;;;;;;
have been recently visited. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
For instance; if an attacker was interested in whether your company;;;;;;;;;;;;;;;;;;;;;;;;
utilizes the online services of a particular financial institution;;;;;;;;;;;;;;;;;;;;;;;;;
they would be able to use this attack to build a statistical model;;;;;;;;;;;;;;;;;;;;;;;;;
regarding company usage of that financial institution.  Of course; the;;;;;;;;;;;;;;;;;;;;;;;;
attack can also be used to find B2B partners; web-surfing patterns;;;;;;;;;;;;;;;;;;;;;;;;
external mail servers; and more.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Note: If this is an internal DNS server not accessible to outside;;;;;;;;;;;;;;;;;;;;;;;;;
networks; attacks would be limited to the internal network. This;;;;;;;;;;;;;;;;;;;;;;;;
may include employees; consultants and potentially users on;;;;;;;;;;;;;;;;;;;;;;;;
"a guest network or WiFi connection if supported.""";Contact the vendor of the DNS software for a fix.;http://cs.unc.edu/~fabian/course_papers/cache_snooping.pdf;;;;;;;;;;;;;;;;;;;;;;;
Nessus sent a non-recursive query for example.edu;;;;;;;;;;;;;;;;;;;;;;;;;
and received 1 answer :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
93.184.216.34;;;;;;;;;;;;;;;;;;;;;;;;;
;,5.3;;;Medium;;;;27/04/2004;07/04/2020;;;;;;;;;;;;;;;;
15901;;5.0;Medium;10.0.2.6;tcp;25;SSL Certificate Expiry;The remote server's SSL certificate has already expired.;This plugin checks expiry dates of certificates associated with SSL-;;;;;;;;;;;;;;;;
enabled services on the target and reports whether any have already;;;;;;;;;;;;;;;;;;;;;;;;;
"expired.""";Purchase or generate a new SSL certificate to replace the existing;;;;;;;;;;;;;;;;;;;;;;;;
"one.""";;;;;;;;;;;;;;;;;;;;;;;;;
The SSL certificate has already expired :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Subject          : C=XX; ST=There is no such thing outside US; L=Everywhere; O=OCOSA; OU=Office for Complication of Otherwise Simple Affairs; CN=ubuntu804-base.localdomain; emailAddress=root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;
  Issuer           : C=XX; ST=There is no such thing outside US; L=Everywhere; O=OCOSA; OU=Office for Complication of Otherwise Simple Affairs; CN=ubuntu804-base.localdomain; emailAddress=root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;
  Not valid before : Mar 17 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
  Not valid after  : Apr 16 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
;,5.3;;;Medium;;;;03/12/2004;12/06/2020;;;;;;;;;;;;;;;;
15901;;5.0;Medium;10.0.2.6;tcp;5432;SSL Certificate Expiry;The remote server's SSL certificate has already expired.;This plugin checks expiry dates of certificates associated with SSL-;;;;;;;;;;;;;;;;
enabled services on the target and reports whether any have already;;;;;;;;;;;;;;;;;;;;;;;;;
"expired.""";Purchase or generate a new SSL certificate to replace the existing;;;;;;;;;;;;;;;;;;;;;;;;
"one.""";;;;;;;;;;;;;;;;;;;;;;;;;
The SSL certificate has already expired :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Subject          : C=XX; ST=There is no such thing outside US; L=Everywhere; O=OCOSA; OU=Office for Complication of Otherwise Simple Affairs; CN=ubuntu804-base.localdomain; emailAddress=root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;
  Issuer           : C=XX; ST=There is no such thing outside US; L=Everywhere; O=OCOSA; OU=Office for Complication of Otherwise Simple Affairs; CN=ubuntu804-base.localdomain; emailAddress=root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;
  Not valid before : Mar 17 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
  Not valid after  : Apr 16 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
;,5.3;;;Medium;;;;03/12/2004;12/06/2020;;;;;;;;;;;;;;;;
17975;;;None;10.0.2.6;tcp;6667;Service Detection (GET request);The remote service could be identified.;It was possible to identify the remote service by its banner or by;;;;;;;;;;;;;;;;
looking at the error message it sends when it receives an HTTP;;;;;;;;;;;;;;;;;;;;;;;;;
"request.""";n/a;;An IRC daemon is listening on this port.;;;;;None;;;;06/04/2005;12/06/2020;;;;;;;;;;;;
18261;;;None;10.0.2.6;tcp;0;Apache Banner Linux Distribution Disclosure;The name of the Linux distribution running on the remote host was;;;;;;;;;;;;;;;;;
"found in the banner of the web server.""";Nessus was able to extract the banner of the Apache web server and;;;;;;;;;;;;;;;;;;;;;;;;
"determine which Linux distribution the remote host is running.""";If you do not wish to display this information, edit 'httpd.conf' and;;;;;;;;;;;;;;;;;;;;;;;;
set the directive 'ServerTokens Prod' and restart Apache.;;;;;;;;;;;;;;;;;;;;;;;;;
"n/a""";;;;;;;;;;;;;;;;;;;;;;;;;
The Linux distribution detected was : ;;;;;;;;;;;;;;;;;;;;;;;;;
 - Ubuntu 8.04 (gutsy);;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;15/05/2005;01/10/2019;;;;;;;;;;;;;;;;;
19288;;;None;10.0.2.6;tcp;5900;VNC Server Security Type Detection;A VNC server is running on the remote host.;This script checks the remote VNC server protocol version and the;;;;;;;;;;;;;;;;
"available 'security types'.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
"The remote VNC server chose security type #2 (VNC authentication)""";;;;;None;;;;22/07/2005;12/03/2014;;;;;;;;;;;;;;;
19506;;;None;10.0.2.6;tcp;0;Nessus Scan Information;This plugin displays information about the Nessus scan.;This plugin displays, for each tested host, information about the;;;;;;;;;;;;;;;;
scan itself :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  - The version of the plugin set.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The type of scanner (Nessus or Nessus Home).;;;;;;;;;;;;;;;;;;;;;;;;;
  - The version of the Nessus Engine.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The port scanner(s) used.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The port range scanned.;;;;;;;;;;;;;;;;;;;;;;;;;
  - Whether credentialed or third-party patch management;;;;;;;;;;;;;;;;;;;;;;;;;
    checks are possible.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The date of the scan.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The duration of the scan.;;;;;;;;;;;;;;;;;;;;;;;;;
  - The number of hosts scanned in parallel.;;;;;;;;;;;;;;;;;;;;;;;;;
"  - The number of checks done in parallel.""";n/a;;Information about this scan : ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nessus version : 8.10.1;;;;;;;;;;;;;;;;;;;;;;;;;
Plugin feed version : 202006262314;;;;;;;;;;;;;;;;;;;;;;;;;
Scanner edition used : Nessus Home;;;;;;;;;;;;;;;;;;;;;;;;;
Scan type : Normal;;;;;;;;;;;;;;;;;;;;;;;;;
Scan policy used : Basic Network Scan;;;;;;;;;;;;;;;;;;;;;;;;;
Scanner IP : 10.0.2.4;;;;;;;;;;;;;;;;;;;;;;;;;
Port scanner(s) : nessus_syn_scanner ;;;;;;;;;;;;;;;;;;;;;;;;;
Port range : default;;;;;;;;;;;;;;;;;;;;;;;;;
Thorough tests : no;;;;;;;;;;;;;;;;;;;;;;;;;
Experimental tests : no;;;;;;;;;;;;;;;;;;;;;;;;;
Paranoia level : 1;;;;;;;;;;;;;;;;;;;;;;;;;
Report verbosity : 1;;;;;;;;;;;;;;;;;;;;;;;;;
Safe checks : yes;;;;;;;;;;;;;;;;;;;;;;;;;
Optimize the test : yes;;;;;;;;;;;;;;;;;;;;;;;;;
Credentialed checks : no;;;;;;;;;;;;;;;;;;;;;;;;;
Patch management checks : None;;;;;;;;;;;;;;;;;;;;;;;;;
CGI scanning : disabled;;;;;;;;;;;;;;;;;;;;;;;;;
Web application tests : disabled;;;;;;;;;;;;;;;;;;;;;;;;;
Max hosts : 30;;;;;;;;;;;;;;;;;;;;;;;;;
Max checks : 4;;;;;;;;;;;;;;;;;;;;;;;;;
Recv timeout : 5;;;;;;;;;;;;;;;;;;;;;;;;;
Backports : Detected;;;;;;;;;;;;;;;;;;;;;;;;;
Allow post-scan editing: Yes;;;;;;;;;;;;;;;;;;;;;;;;;
Scan Start Date : 2020/6/28 11:12 CEST;;;;;;;;;;;;;;;;;;;;;;;;;
Scan duration : 482 sec;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;26/08/2005;12/06/2020;;;;;;;;;;;;;;;;;
20007;;7.1;High;10.0.2.6;tcp;25;SSL Version 2 and 3 Protocol Detection;The remote service encrypts traffic using a protocol with known;;;;;;;;;;;;;;;;;
"weaknesses.""";The remote service accepts connections encrypted using SSL 2.0 and/or;;;;;;;;;;;;;;;;;;;;;;;;
SSL 3.0. These versions of SSL are affected by several cryptographic;;;;;;;;;;;;;;;;;;;;;;;;;
flaws; including:;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  - An insecure padding scheme with CBC ciphers.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  - Insecure session renegotiation and resumption schemes.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
An attacker can exploit these flaws to conduct man-in-the-middle;;;;;;;;;;;;;;;;;;;;;;;;;
attacks or to decrypt communications between the affected service and;;;;;;;;;;;;;;;;;;;;;;;;;
clients.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Although SSL/TLS has a secure means for choosing the highest supported;;;;;;;;;;;;;;;;;;;;;;;;;
version of the protocol (so that these versions will be used only if;;;;;;;;;;;;;;;;;;;;;;;;;
the client or server support nothing better); many web browsers;;;;;;;;;;;;;;;;;;;;;;;;
implement this in an unsafe way that allows an attacker to downgrade;;;;;;;;;;;;;;;;;;;;;;;;;
a connection (such as in POODLE). Therefore; it is recommended that;;;;;;;;;;;;;;;;;;;;;;;;
these protocols be disabled entirely.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
NIST has determined that SSL 3.0 is no longer acceptable for secure;;;;;;;;;;;;;;;;;;;;;;;;;
communications. As of the date of enforcement found in PCI DSS v3.1;;;;;;;;;;;;;;;;;;;;;;;;;
any version of SSL will not meet the PCI SSC's definition of 'strong;;;;;;;;;;;;;;;;;;;;;;;;;
"cryptography'.""";Consult the application's documentation to disable SSL 2.0 and 3.0.;;;;;;;;;;;;;;;;;;;;;;;;
"Use TLS 1.2 (with approved cipher suites) or higher instead.""";https://www.schneier.com/academic/paperfiles/paper-ssl.pdf;;;;;;;;;;;;;;;;;;;;;;;;
http://www.nessus.org/u?b06c7e95;;;;;;;;;;;;;;;;;;;;;;;;;
http://www.nessus.org/u?247c4540;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.openssl.org/~bodo/ssl-poodle.pdf;;;;;;;;;;;;;;;;;;;;;;;;;
http://www.nessus.org/u?5d15ba70;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.imperialviolet.org/2014/10/14/poodle.html;;;;;;;;;;;;;;;;;;;;;;;;;
https://tools.ietf.org/html/rfc7507;;;;;;;;;;;;;;;;;;;;;;;;;
"https://tools.ietf.org/html/rfc7568""";;;;;;;;;;;;;;;;;;;;;;;;;
#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Low Strength Ciphers (<= 64-bit key);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    DES-CBC-MD5                                    RSA           RSA      DES-CBC(56)            MD5;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-RC2-CBC-MD5                                RSA(512)      RSA      RC2-CBC(40)            MD5       export;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Medium Strength Ciphers (> 64-bit and < 112-bit key; or 3DES);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    DES-CBC3-MD5                                   RSA           RSA      3DES-CBC(168)          MD5;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  High Strength Ciphers (>= 112-bit key);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    RC2-CBC-MD5                                    RSA           RSA      RC2-CBC(128)           MD5;;;;;;;;;;;;;;;;;;;;;;;;;
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
The fields above are :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  {Tenable ciphername};;;;;;;;;;;;;;;;;;;;;;;;;
  {Cipher ID code};;;;;;;;;;;;;;;;;;;;;;;;;
  Kex={key exchange};;;;;;;;;;;;;;;;;;;;;;;;;
  Auth={authentication};;;;;;;;;;;;;;;;;;;;;;;;;
  Encrypt={symmetric encryption method};;;;;;;;;;;;;;;;;;;;;;;;;
  MAC={message authentication code};;;;;;;;;;;;;;;;;;;;;;;;;
  {export flag};;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
"	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Low Strength Ciphers (<= 64-bit key);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-EDH-RSA-DES-CBC-SHA                        DH(512)       RSA      DES-CBC(40)            SHA1      export;;;;;;;;;;;;;;;;;;;;;;;;;
    EDH-RSA-DES-CBC-SHA                            DH            RSA      DES-CBC(56)            SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-ADH-DES-CBC-SHA                            DH(512)       None     DES-CBC(40)            SHA1      export;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-ADH-RC4-MD5                                DH(512)       None     RC4(40)                MD5       export;;;;;;;;;;;;;;;;;;;;;;;;;
    ADH-DES-CBC-SHA                                DH            None     DES-CBC(56)            SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-DES-CBC-SHA                                RSA(512)      RSA      DES-CBC(40)            SHA1      export;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-RC2-CBC-MD5                                RSA(512)      RSA      RC2-CBC(40)            MD5       export;;;;;;;;;;;;;;;;;;;;;;;;;
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export;;;;;;;;;;;;;;;;;;;;;;;;;
    DES-CBC-SHA                                    RSA           RSA      DES-CBC(56)            SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  Medium Strength Ciphers (> 64-bit and < 112-bit key; or 3DES);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    EDH-RSA-DES-CBC3-SHA                           DH            RSA      3DES-CBC(168)          SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    ADH-DES-CBC3-SHA                               DH            None     3DES-CBC(168)          SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  High Strength Ciphers (>= 112-bit key);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
    Name                          Code             KEX           Auth     Encryption             MAC;;;;;;;;;;;;;;;;;;;;;;;;;
    ----------------------        ----------       ---           ----     ---------------------  ---;;;;;;;;;;;;;;;;;;;;;;;;;
    DHE-RSA-AES128-SHA                             DH            RSA      AES-CBC(128)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    DHE-RSA-AES256-SHA                             DH            RSA      AES-CBC(256)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    ADH-AES128-SHA                                 DH            None     AES-CBC(128)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    ADH-AES256-SHA                                 DH            None     AES-CBC(256)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    ADH-RC4-MD5                                    DH            None     RC4(128)               MD5;;;;;;;;;;;;;;;;;;;;;;;;;
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5;;;;;;;;;;;;;;;;;;;;;;;;;
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
The fields above are :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  {Tenable ciphername};;;;;;;;;;;;;;;;;;;;;;;;;
  {Cipher ID code};;;;;;;;;;;;;;;;;;;;;;;;;
  Kex={key exchange};;;;;;;;;;;;;;;;;;;;;;;;;
  Auth={authentication};;;;;;;;;;;;;;;;;;;;;;;;;
  Encrypt={symmetric encryption method};;;;;;;;;;;;;;;;;;;;;;;;;
  MAC={message authentication code};;;;;;;;;;;;;;;;;;;;;;;;;
  {export flag};;;;;;;;;;;;;;;;;;;;;;;;;
;,7.5;;;High;;;;12/10/2005;06/05/2020;;;;;;;;;;;;;;;;
20007;;7.1;High;10.0.2.6;tcp;5432;SSL Version 2 and 3 Protocol Detection;The remote service encrypts traffic using a protocol with known;;;;;;;;;;;;;;;;;
"weaknesses.""";The remote service accepts connections encrypted using SSL 2.0 and/or;;;;;;;;;;;;;;;;;;;;;;;;
SSL 3.0. These versions of SSL are affected by several cryptographic;;;;;;;;;;;;;;;;;;;;;;;;;
flaws; including:;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  - An insecure padding scheme with CBC ciphers.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  - Insecure session renegotiation and resumption schemes.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
An attacker can exploit these flaws to conduct man-in-the-middle;;;;;;;;;;;;;;;;;;;;;;;;;
attacks or to decrypt communications between the affected service and;;;;;;;;;;;;;;;;;;;;;;;;;
clients.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Although SSL/TLS has a secure means for choosing the highest supported;;;;;;;;;;;;;;;;;;;;;;;;;
version of the protocol (so that these versions will be used only if;;;;;;;;;;;;;;;;;;;;;;;;;
the client or server support nothing better); many web browsers;;;;;;;;;;;;;;;;;;;;;;;;
implement this in an unsafe way that allows an attacker to downgrade;;;;;;;;;;;;;;;;;;;;;;;;;
a connection (such as in POODLE). Therefore; it is recommended that;;;;;;;;;;;;;;;;;;;;;;;;
these protocols be disabled entirely.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
NIST has determined that SSL 3.0 is no longer acceptable for secure;;;;;;;;;;;;;;;;;;;;;;;;;
communications. As of the date of enforcement found in PCI DSS v3.1;;;;;;;;;;;;;;;;;;;;;;;;;
